epoch,phase,train_gen_loss,train_disc_loss,val_psnr_ae,val_ssim_ae,val_psnr_gan,val_ssim_gan
75,adversarial,0.018379,0.693303,28.5111,0.9143,29.1195,0.9236
76,adversarial,0.018278,0.693272,28.5111,0.9143,29.0366,0.9231
77,adversarial,0.018259,0.693361,28.5111,0.9143,28.9323,0.9238
78,adversarial,0.018187,0.693265,28.5111,0.9143,29.0790,0.9233
79,adversarial,0.018259,0.693290,28.5111,0.9143,28.9610,0.9237
80,adversarial,0.018214,0.693293,28.5111,0.9143,29.0741,0.9240
81,adversarial,0.018114,0.693197,28.5111,0.9143,29.1472,0.9238
82,adversarial,0.018130,0.693300,28.5111,0.9143,29.1667,0.9237
83,adversarial,0.018157,0.693291,28.5111,0.9143,29.1166,0.9239
84,adversarial,0.018140,0.693207,28.5111,0.9143,29.1377,0.9236
85,adversarial,0.018068,0.693300,28.5111,0.9143,29.0722,0.9237
86,adversarial,0.018092,0.693304,28.5111,0.9143,28.6170,0.9238
87,adversarial,0.018074,0.693314,28.5111,0.9143,29.1538,0.9236
88,adversarial,0.018111,0.693245,28.5111,0.9143,29.1459,0.9236
89,adversarial,0.018009,0.693234,28.5111,0.9143,29.0018,0.9236
90,adversarial,0.017962,0.693280,28.5111,0.9143,29.0765,0.9233
91,adversarial,0.017981,0.693235,28.5111,0.9143,28.7967,0.9239
92,adversarial,0.017970,0.693305,28.5111,0.9143,29.0995,0.9237
93,adversarial,0.018031,0.693241,28.5111,0.9143,29.1447,0.9240
94,adversarial,0.017899,0.693292,28.5111,0.9143,29.1184,0.9238
95,adversarial,0.017932,0.693239,28.5111,0.9143,29.1722,0.9243
96,adversarial,0.017846,0.693300,28.5111,0.9143,29.0684,0.9234
97,adversarial,0.017825,0.693209,28.5111,0.9143,29.0816,0.9239
98,adversarial,0.017839,0.693266,28.5111,0.9143,28.9733,0.9243
99,adversarial,0.017860,0.693200,28.5111,0.9143,29.1100,0.9239
100,adversarial,0.017762,0.693284,28.5111,0.9143,29.1754,0.9239
