nohup: ignoring input
Run 1 | Seed 42
Using device: cuda
Train: 22050 | Val: 2754 | Test: 2754
Loaded frozen autoencoder.
Epoch [039/100] [adversarial] G: 0.019532 D: 0.693370 | Val PSNR AE: 28.51 GAN: 28.89 | Val SSIM AE: 0.9143 GAN: 0.9231
Epoch [040/100] [adversarial] G: 0.019563 D: 0.693414 | Val PSNR AE: 28.51 GAN: 28.91 | Val SSIM AE: 0.9143 GAN: 0.9230
Epoch [041/100] [adversarial] G: 0.019447 D: 0.693344 | Val PSNR AE: 28.51 GAN: 28.68 | Val SSIM AE: 0.9143 GAN: 0.9231
Epoch [042/100] [adversarial] G: 0.019335 D: 0.693375 | Val PSNR AE: 28.51 GAN: 28.97 | Val SSIM AE: 0.9143 GAN: 0.9227
Epoch [043/100] [adversarial] G: 0.019316 D: 0.693267 | Val PSNR AE: 28.51 GAN: 29.00 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [044/100] [adversarial] G: 0.019267 D: 0.693435 | Val PSNR AE: 28.51 GAN: 28.89 | Val SSIM AE: 0.9143 GAN: 0.9228
Epoch [045/100] [adversarial] G: 0.019234 D: 0.693373 | Val PSNR AE: 28.51 GAN: 28.99 | Val SSIM AE: 0.9143 GAN: 0.9231
Epoch [046/100] [adversarial] G: 0.019291 D: 0.693295 | Val PSNR AE: 28.51 GAN: 28.82 | Val SSIM AE: 0.9143 GAN: 0.9221
Epoch [047/100] [adversarial] G: 0.019074 D: 0.693294 | Val PSNR AE: 28.51 GAN: 28.78 | Val SSIM AE: 0.9143 GAN: 0.9234
Epoch [048/100] [adversarial] G: 0.019141 D: 0.693274 | Val PSNR AE: 28.51 GAN: 28.84 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [049/100] [adversarial] G: 0.019086 D: 0.693355 | Val PSNR AE: 28.51 GAN: 29.01 | Val SSIM AE: 0.9143 GAN: 0.9233
Epoch [050/100] [adversarial] G: 0.019058 D: 0.693329 | Val PSNR AE: 28.51 GAN: 29.06 | Val SSIM AE: 0.9143 GAN: 0.9234
Epoch [051/100] [adversarial] G: 0.018979 D: 0.693311 | Val PSNR AE: 28.51 GAN: 28.92 | Val SSIM AE: 0.9143 GAN: 0.9230
Epoch [052/100] [adversarial] G: 0.018984 D: 0.693251 | Val PSNR AE: 28.51 GAN: 28.70 | Val SSIM AE: 0.9143 GAN: 0.9225
Epoch [053/100] [adversarial] G: 0.018949 D: 0.693364 | Val PSNR AE: 28.51 GAN: 28.99 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [054/100] [adversarial] G: 0.018820 D: 0.693283 | Val PSNR AE: 28.51 GAN: 29.04 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [055/100] [adversarial] G: 0.018868 D: 0.693321 | Val PSNR AE: 28.51 GAN: 28.93 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [056/100] [adversarial] G: 0.018766 D: 0.693294 | Val PSNR AE: 28.51 GAN: 29.12 | Val SSIM AE: 0.9143 GAN: 0.9232
Epoch [057/100] [adversarial] G: 0.018797 D: 0.693300 | Val PSNR AE: 28.51 GAN: 29.10 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [058/100] [adversarial] G: 0.018761 D: 0.693315 | Val PSNR AE: 28.51 GAN: 29.00 | Val SSIM AE: 0.9143 GAN: 0.9227
Epoch [059/100] [adversarial] G: 0.018634 D: 0.693345 | Val PSNR AE: 28.51 GAN: 28.75 | Val SSIM AE: 0.9143 GAN: 0.9226
Epoch [060/100] [adversarial] G: 0.018744 D: 0.693236 | Val PSNR AE: 28.51 GAN: 29.04 | Val SSIM AE: 0.9143 GAN: 0.9234
Epoch [061/100] [adversarial] G: 0.018606 D: 0.693300 | Val PSNR AE: 28.51 GAN: 29.06 | Val SSIM AE: 0.9143 GAN: 0.9233
Epoch [062/100] [adversarial] G: 0.018625 D: 0.693229 | Val PSNR AE: 28.51 GAN: 28.97 | Val SSIM AE: 0.9143 GAN: 0.9235
Epoch [063/100] [adversarial] G: 0.018683 D: 0.693335 | Val PSNR AE: 28.51 GAN: 28.99 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [064/100] [adversarial] G: 0.018614 D: 0.693258 | Val PSNR AE: 28.51 GAN: 29.09 | Val SSIM AE: 0.9143 GAN: 0.9235
Epoch [065/100] [adversarial] G: 0.018491 D: 0.693297 | Val PSNR AE: 28.51 GAN: 29.11 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [066/100] [adversarial] G: 0.018480 D: 0.693365 | Val PSNR AE: 28.51 GAN: 29.01 | Val SSIM AE: 0.9143 GAN: 0.9231
Epoch [067/100] [adversarial] G: 0.018527 D: 0.693338 | Val PSNR AE: 28.51 GAN: 29.01 | Val SSIM AE: 0.9143 GAN: 0.9233
Epoch [068/100] [adversarial] G: 0.018570 D: 0.693237 | Val PSNR AE: 28.51 GAN: 29.07 | Val SSIM AE: 0.9143 GAN: 0.9235
Epoch [069/100] [adversarial] G: 0.018408 D: 0.693244 | Val PSNR AE: 28.51 GAN: 29.09 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [070/100] [adversarial] G: 0.018485 D: 0.693302 | Val PSNR AE: 28.51 GAN: 29.05 | Val SSIM AE: 0.9143 GAN: 0.9228
Epoch [071/100] [adversarial] G: 0.018459 D: 0.693336 | Val PSNR AE: 28.51 GAN: 29.09 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [072/100] [adversarial] G: 0.018410 D: 0.693244 | Val PSNR AE: 28.51 GAN: 29.06 | Val SSIM AE: 0.9143 GAN: 0.9235
Epoch [073/100] [adversarial] G: 0.018371 D: 0.693301 | Val PSNR AE: 28.51 GAN: 29.05 | Val SSIM AE: 0.9143 GAN: 0.9234
