nohup: ignoring input
Run 2 | Seed 43
Using device: cuda
Train: 22050 | Val: 2754 | Test: 2754
Loaded frozen autoencoder.
Epoch [001/100] [warmup] G: 0.054053 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.04 | Val SSIM AE: 0.9140 GAN: 0.8759
Epoch [002/100] [warmup] G: 0.029735 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.22 | Val SSIM AE: 0.9140 GAN: 0.9022
Epoch [003/100] [warmup] G: 0.027568 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.22 | Val SSIM AE: 0.9140 GAN: 0.9133
Epoch [004/100] [warmup] G: 0.026188 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.92 | Val SSIM AE: 0.9140 GAN: 0.9084
Epoch [005/100] [warmup] G: 0.024882 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.36 | Val SSIM AE: 0.9140 GAN: 0.9143
Epoch [006/100] [warmup] G: 0.024797 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.01 | Val SSIM AE: 0.9140 GAN: 0.9136
Epoch [007/100] [warmup] G: 0.024013 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.44 | Val SSIM AE: 0.9140 GAN: 0.9176
Epoch [008/100] [warmup] G: 0.023817 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.39 | Val SSIM AE: 0.9140 GAN: 0.9154
Epoch [009/100] [warmup] G: 0.023427 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.58 | Val SSIM AE: 0.9140 GAN: 0.9133
Epoch [010/100] [warmup] G: 0.023125 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.69 | Val SSIM AE: 0.9140 GAN: 0.9125
Epoch [011/100] [warmup] G: 0.023231 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.51 | Val SSIM AE: 0.9140 GAN: 0.9172
Epoch [012/100] [warmup] G: 0.022553 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.58 | Val SSIM AE: 0.9140 GAN: 0.9183
Epoch [013/100] [warmup] G: 0.021984 D: 0.000000 | Val PSNR AE: 28.33 GAN: 27.82 | Val SSIM AE: 0.9140 GAN: 0.9162
Epoch [014/100] [warmup] G: 0.021779 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.47 | Val SSIM AE: 0.9140 GAN: 0.9198
Epoch [015/100] [warmup] G: 0.021766 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.21 | Val SSIM AE: 0.9140 GAN: 0.9163
Epoch [016/100] [warmup] G: 0.021496 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.53 | Val SSIM AE: 0.9140 GAN: 0.9189
Epoch [017/100] [warmup] G: 0.021200 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.02 | Val SSIM AE: 0.9140 GAN: 0.9191
Epoch [018/100] [warmup] G: 0.021072 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.72 | Val SSIM AE: 0.9140 GAN: 0.9193
Epoch [019/100] [warmup] G: 0.021050 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.39 | Val SSIM AE: 0.9140 GAN: 0.9193
Epoch [020/100] [warmup] G: 0.020928 D: 0.000000 | Val PSNR AE: 28.33 GAN: 28.27 | Val SSIM AE: 0.9140 GAN: 0.9205
Epoch [021/100] [adversarial] G: 0.021569 D: 0.700930 | Val PSNR AE: 28.33 GAN: 28.77 | Val SSIM AE: 0.9140 GAN: 0.9188
Epoch [022/100] [adversarial] G: 0.021111 D: 0.696151 | Val PSNR AE: 28.33 GAN: 28.69 | Val SSIM AE: 0.9140 GAN: 0.9210
Epoch [023/100] [adversarial] G: 0.021218 D: 0.695062 | Val PSNR AE: 28.33 GAN: 28.16 | Val SSIM AE: 0.9140 GAN: 0.9188
Epoch [024/100] [adversarial] G: 0.021168 D: 0.694358 | Val PSNR AE: 28.33 GAN: 27.51 | Val SSIM AE: 0.9140 GAN: 0.9207
Epoch [025/100] [adversarial] G: 0.021005 D: 0.693881 | Val PSNR AE: 28.33 GAN: 28.64 | Val SSIM AE: 0.9140 GAN: 0.9202
Epoch [026/100] [adversarial] G: 0.020717 D: 0.693740 | Val PSNR AE: 28.33 GAN: 28.40 | Val SSIM AE: 0.9140 GAN: 0.9216
Epoch [027/100] [adversarial] G: 0.020895 D: 0.693623 | Val PSNR AE: 28.33 GAN: 28.51 | Val SSIM AE: 0.9140 GAN: 0.9212
Epoch [028/100] [adversarial] G: 0.020692 D: 0.693560 | Val PSNR AE: 28.33 GAN: 28.77 | Val SSIM AE: 0.9140 GAN: 0.9211
Epoch [029/100] [adversarial] G: 0.020349 D: 0.693470 | Val PSNR AE: 28.33 GAN: 28.74 | Val SSIM AE: 0.9140 GAN: 0.9219
Epoch [030/100] [adversarial] G: 0.020602 D: 0.693474 | Val PSNR AE: 28.33 GAN: 28.74 | Val SSIM AE: 0.9140 GAN: 0.9218
Epoch [031/100] [adversarial] G: 0.020478 D: 0.693443 | Val PSNR AE: 28.33 GAN: 28.81 | Val SSIM AE: 0.9140 GAN: 0.9207
Epoch [032/100] [adversarial] G: 0.020210 D: 0.693406 | Val PSNR AE: 28.33 GAN: 28.79 | Val SSIM AE: 0.9140 GAN: 0.9213
Epoch [033/100] [adversarial] G: 0.019987 D: 0.693357 | Val PSNR AE: 28.33 GAN: 28.75 | Val SSIM AE: 0.9140 GAN: 0.9212
Epoch [034/100] [adversarial] G: 0.020087 D: 0.693387 | Val PSNR AE: 28.33 GAN: 28.37 | Val SSIM AE: 0.9140 GAN: 0.9221
Epoch [035/100] [adversarial] G: 0.019948 D: 0.693367 | Val PSNR AE: 28.33 GAN: 28.52 | Val SSIM AE: 0.9140 GAN: 0.9208
Epoch [036/100] [adversarial] G: 0.019892 D: 0.693329 | Val PSNR AE: 28.33 GAN: 28.81 | Val SSIM AE: 0.9140 GAN: 0.9223
Epoch [037/100] [adversarial] G: 0.019876 D: 0.693390 | Val PSNR AE: 28.33 GAN: 28.39 | Val SSIM AE: 0.9140 GAN: 0.9208
Epoch [038/100] [adversarial] G: 0.019802 D: 0.693343 | Val PSNR AE: 28.33 GAN: 28.71 | Val SSIM AE: 0.9140 GAN: 0.9214
Epoch [039/100] [adversarial] G: 0.019701 D: 0.693372 | Val PSNR AE: 28.33 GAN: 28.75 | Val SSIM AE: 0.9140 GAN: 0.9228
Epoch [040/100] [adversarial] G: 0.019681 D: 0.693387 | Val PSNR AE: 28.33 GAN: 28.83 | Val SSIM AE: 0.9140 GAN: 0.9224
Epoch [041/100] [adversarial] G: 0.019624 D: 0.693340 | Val PSNR AE: 28.33 GAN: 28.57 | Val SSIM AE: 0.9140 GAN: 0.9225
Epoch [042/100] [adversarial] G: 0.019741 D: 0.693265 | Val PSNR AE: 28.33 GAN: 28.57 | Val SSIM AE: 0.9140 GAN: 0.9218
Epoch [043/100] [adversarial] G: 0.019553 D: 0.693407 | Val PSNR AE: 28.33 GAN: 28.71 | Val SSIM AE: 0.9140 GAN: 0.9220
Epoch [044/100] [adversarial] G: 0.019482 D: 0.693328 | Val PSNR AE: 28.33 GAN: 28.33 | Val SSIM AE: 0.9140 GAN: 0.9222
Epoch [045/100] [adversarial] G: 0.019369 D: 0.693349 | Val PSNR AE: 28.33 GAN: 28.83 | Val SSIM AE: 0.9140 GAN: 0.9224
Epoch [046/100] [adversarial] G: 0.019388 D: 0.693296 | Val PSNR AE: 28.33 GAN: 28.92 | Val SSIM AE: 0.9140 GAN: 0.9229
Epoch [047/100] [adversarial] G: 0.019331 D: 0.693317 | Val PSNR AE: 28.33 GAN: 28.86 | Val SSIM AE: 0.9140 GAN: 0.9226
