nohup: ignoring input
Run 3 | Seed 44
Using device: cuda
Train: 22050 | Val: 2754 | Test: 2754
Loaded frozen autoencoder.
Epoch [001/100] [warmup] G: 0.057163 D: 0.000000 | Val PSNR AE: 28.37 GAN: 27.44 | Val SSIM AE: 0.9134 GAN: 0.8706
Epoch [002/100] [warmup] G: 0.030628 D: 0.000000 | Val PSNR AE: 28.37 GAN: 27.15 | Val SSIM AE: 0.9134 GAN: 0.9024
Epoch [003/100] [warmup] G: 0.027086 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.19 | Val SSIM AE: 0.9134 GAN: 0.9064
Epoch [004/100] [warmup] G: 0.025740 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.31 | Val SSIM AE: 0.9134 GAN: 0.9107
Epoch [005/100] [warmup] G: 0.025188 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.27 | Val SSIM AE: 0.9134 GAN: 0.9146
Epoch [006/100] [warmup] G: 0.024246 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.44 | Val SSIM AE: 0.9134 GAN: 0.9128
Epoch [007/100] [warmup] G: 0.024030 D: 0.000000 | Val PSNR AE: 28.37 GAN: 27.73 | Val SSIM AE: 0.9134 GAN: 0.9063
Epoch [008/100] [warmup] G: 0.023213 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.36 | Val SSIM AE: 0.9134 GAN: 0.9165
Epoch [009/100] [warmup] G: 0.022923 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.57 | Val SSIM AE: 0.9134 GAN: 0.9184
Epoch [010/100] [warmup] G: 0.022897 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.47 | Val SSIM AE: 0.9134 GAN: 0.9159
Epoch [011/100] [warmup] G: 0.022599 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.38 | Val SSIM AE: 0.9134 GAN: 0.9174
Epoch [012/100] [warmup] G: 0.022434 D: 0.000000 | Val PSNR AE: 28.37 GAN: 28.53 | Val SSIM AE: 0.9134 GAN: 0.9149
