epoch,phase,train_gen_loss,train_disc_loss,val_psnr_ae,val_ssim_ae,val_psnr_gan,val_ssim_gan
1,warmup,0.057163,0.000000,28.3711,0.9134,27.4421,0.8706
2,warmup,0.030628,0.000000,28.3711,0.9134,27.1519,0.9024
3,warmup,0.027086,0.000000,28.3711,0.9134,28.1889,0.9064
4,warmup,0.025740,0.000000,28.3711,0.9134,28.3123,0.9107
5,warmup,0.025188,0.000000,28.3711,0.9134,28.2736,0.9146
6,warmup,0.024246,0.000000,28.3711,0.9134,28.4429,0.9128
7,warmup,0.024030,0.000000,28.3711,0.9134,27.7270,0.9063
8,warmup,0.023213,0.000000,28.3711,0.9134,28.3644,0.9165
9,warmup,0.022923,0.000000,28.3711,0.9134,28.5692,0.9184
10,warmup,0.022897,0.000000,28.3711,0.9134,28.4720,0.9159
11,warmup,0.022599,0.000000,28.3711,0.9134,28.3830,0.9174
12,warmup,0.022434,0.000000,28.3711,0.9134,28.5255,0.9149
13,warmup,0.022152,0.000000,28.3711,0.9134,27.7886,0.9154
14,warmup,0.022356,0.000000,28.3711,0.9134,28.5262,0.9153
15,warmup,0.021890,0.000000,28.3711,0.9134,28.1598,0.9164
16,warmup,0.021849,0.000000,28.3711,0.9134,28.8017,0.9188
17,warmup,0.021691,0.000000,28.3711,0.9134,28.6315,0.9177
18,warmup,0.021266,0.000000,28.3711,0.9134,28.7269,0.9194
19,warmup,0.021097,0.000000,28.3711,0.9134,28.4680,0.9166
20,warmup,0.020966,0.000000,28.3711,0.9134,28.0103,0.9179
21,adversarial,0.021615,0.699934,28.3711,0.9134,28.6239,0.9181
22,adversarial,0.021230,0.696176,28.3711,0.9134,28.7002,0.9191
23,adversarial,0.021121,0.694826,28.3711,0.9134,28.6610,0.9210
24,adversarial,0.020790,0.694176,28.3711,0.9134,28.6547,0.9192
25,adversarial,0.020760,0.693808,28.3711,0.9134,28.7939,0.9203
26,adversarial,0.020713,0.693625,28.3711,0.9134,28.6704,0.9207
27,adversarial,0.020684,0.693507,28.3711,0.9134,28.8064,0.9206
28,adversarial,0.020437,0.693486,28.3711,0.9134,28.7830,0.9200
29,adversarial,0.020755,0.693488,28.3711,0.9134,28.7029,0.9199
30,adversarial,0.020149,0.693416,28.3711,0.9134,28.7564,0.9198
31,adversarial,0.020084,0.693410,28.3711,0.9134,28.8344,0.9208
32,adversarial,0.020063,0.693382,28.3711,0.9134,28.8397,0.9212
33,adversarial,0.020027,0.693431,28.3711,0.9134,28.6642,0.9210
34,adversarial,0.019903,0.693388,28.3711,0.9134,28.6836,0.9219
35,adversarial,0.020126,0.693321,28.3711,0.9134,28.5846,0.9218
36,adversarial,0.020017,0.693420,28.3711,0.9134,28.7776,0.9218
37,adversarial,0.019624,0.693325,28.3711,0.9134,28.7324,0.9210
38,adversarial,0.019706,0.693394,28.3711,0.9134,28.8583,0.9216
39,adversarial,0.019572,0.693286,28.3711,0.9134,28.8623,0.9218
40,adversarial,0.019614,0.693285,28.3711,0.9134,28.4172,0.9218
41,adversarial,0.019532,0.693335,28.3711,0.9134,28.9014,0.9218
42,adversarial,0.019493,0.693333,28.3711,0.9134,28.7782,0.9208
43,adversarial,0.019294,0.693373,28.3711,0.9134,28.7508,0.9222
44,adversarial,0.019371,0.693363,28.3711,0.9134,28.8788,0.9220
45,adversarial,0.019361,0.693258,28.3711,0.9134,28.7019,0.9222
46,adversarial,0.019444,0.693324,28.3711,0.9134,28.7309,0.9220
47,adversarial,0.019200,0.693309,28.3711,0.9134,28.9528,0.9216
48,adversarial,0.019171,0.693365,28.3711,0.9134,28.4956,0.9219
49,adversarial,0.019104,0.693280,28.3711,0.9134,28.9236,0.9214
50,adversarial,0.019023,0.693196,28.3711,0.9134,28.7947,0.9221
51,adversarial,0.019118,0.693319,28.3711,0.9134,28.7916,0.9218
52,adversarial,0.019220,0.693276,28.3711,0.9134,28.9129,0.9221
53,adversarial,0.018961,0.693305,28.3711,0.9134,28.6739,0.9213
54,adversarial,0.018940,0.693421,28.3711,0.9134,28.8281,0.9220
55,adversarial,0.019016,0.693300,28.3711,0.9134,28.9800,0.9226
56,adversarial,0.018911,0.693296,28.3711,0.9134,28.9692,0.9227
57,adversarial,0.018886,0.693367,28.3711,0.9134,28.9370,0.9223
58,adversarial,0.018930,0.693256,28.3711,0.9134,28.7922,0.9226
59,adversarial,0.018765,0.693295,28.3711,0.9134,28.8868,0.9221
60,adversarial,0.018741,0.693272,28.3711,0.9134,28.8807,0.9226
61,adversarial,0.018874,0.693315,28.3711,0.9134,28.9793,0.9228
62,adversarial,0.018685,0.693251,28.3711,0.9134,28.9641,0.9224
63,adversarial,0.018651,0.693274,28.3711,0.9134,28.8956,0.9216
64,adversarial,0.018600,0.693379,28.3711,0.9134,28.7983,0.9220
65,adversarial,0.018691,0.693285,28.3711,0.9134,28.9091,0.9226
66,adversarial,0.018670,0.693300,28.3711,0.9134,28.9008,0.9229
67,adversarial,0.018542,0.693298,28.3711,0.9134,28.6013,0.9227
68,adversarial,0.018592,0.693225,28.3711,0.9134,28.9389,0.9227
69,adversarial,0.018596,0.693316,28.3711,0.9134,29.0330,0.9230
70,adversarial,0.018487,0.693343,28.3711,0.9134,29.0021,0.9225
71,adversarial,0.018461,0.693231,28.3711,0.9134,28.9762,0.9228
72,adversarial,0.018536,0.693338,28.3711,0.9134,28.9855,0.9230
73,adversarial,0.018471,0.693205,28.3711,0.9134,28.9639,0.9228
74,adversarial,0.018413,0.693274,28.3711,0.9134,29.0659,0.9231
75,adversarial,0.018420,0.693237,28.3711,0.9134,28.9826,0.9219
76,adversarial,0.018447,0.693221,28.3711,0.9134,28.8324,0.9225
77,adversarial,0.018359,0.693258,28.3711,0.9134,28.8539,0.9226
78,adversarial,0.018326,0.693284,28.3711,0.9134,28.9380,0.9232
79,adversarial,0.018255,0.693233,28.3711,0.9134,29.0031,0.9231
80,adversarial,0.018225,0.693259,28.3711,0.9134,29.0263,0.9233
81,adversarial,0.018302,0.693370,28.3711,0.9134,29.0548,0.9231
82,adversarial,0.018189,0.693241,28.3711,0.9134,28.9620,0.9222
83,adversarial,0.018266,0.693348,28.3711,0.9134,28.9720,0.9229
84,adversarial,0.018187,0.693253,28.3711,0.9134,28.9654,0.9232
85,adversarial,0.018145,0.693230,28.3711,0.9134,29.0264,0.9224
86,adversarial,0.018192,0.693146,28.3711,0.9134,28.7350,0.9220
87,adversarial,0.018207,0.693286,28.3711,0.9134,28.9218,0.9234
88,adversarial,0.018089,0.693226,28.3711,0.9134,28.9945,0.9228
89,adversarial,0.018087,0.693270,28.3711,0.9134,29.0521,0.9228
90,adversarial,0.018082,0.693288,28.3711,0.9134,29.0833,0.9231
91,adversarial,0.018119,0.693314,28.3711,0.9134,28.8603,0.9232
92,adversarial,0.018073,0.693280,28.3711,0.9134,29.0731,0.9232
93,adversarial,0.018143,0.693231,28.3711,0.9134,29.0108,0.9220
94,adversarial,0.018080,0.693251,28.3711,0.9134,29.0453,0.9234
95,adversarial,0.018044,0.693247,28.3711,0.9134,29.0588,0.9232
96,adversarial,0.018044,0.693240,28.3711,0.9134,29.0335,0.9234
97,adversarial,0.017893,0.693206,28.3711,0.9134,29.1079,0.9232
98,adversarial,0.017961,0.693326,28.3711,0.9134,28.5495,0.9229
99,adversarial,0.018025,0.693235,28.3711,0.9134,29.0745,0.9232
100,adversarial,0.017886,0.693253,28.3711,0.9134,29.0220,0.9233
