epoch,phase,train_gen_loss,train_disc_loss,val_psnr_ae,val_ssim_ae,val_psnr_gan,val_ssim_gan
1,warmup,0.054053,0.000000,28.3269,0.9140,27.0420,0.8759
2,warmup,0.029735,0.000000,28.3269,0.9140,28.2158,0.9022
3,warmup,0.027568,0.000000,28.3269,0.9140,27.2213,0.9133
4,warmup,0.026188,0.000000,28.3269,0.9140,27.9188,0.9084
5,warmup,0.024882,0.000000,28.3269,0.9140,28.3616,0.9143
6,warmup,0.024797,0.000000,28.3269,0.9140,28.0142,0.9136
7,warmup,0.024013,0.000000,28.3269,0.9140,27.4404,0.9176
8,warmup,0.023817,0.000000,28.3269,0.9140,28.3923,0.9154
9,warmup,0.023427,0.000000,28.3269,0.9140,28.5750,0.9133
10,warmup,0.023125,0.000000,28.3269,0.9140,27.6948,0.9125
11,warmup,0.023231,0.000000,28.3269,0.9140,28.5120,0.9172
12,warmup,0.022553,0.000000,28.3269,0.9140,28.5816,0.9183
13,warmup,0.021984,0.000000,28.3269,0.9140,27.8234,0.9162
14,warmup,0.021779,0.000000,28.3269,0.9140,28.4728,0.9198
15,warmup,0.021766,0.000000,28.3269,0.9140,28.2091,0.9163
16,warmup,0.021496,0.000000,28.3269,0.9140,28.5291,0.9189
17,warmup,0.021200,0.000000,28.3269,0.9140,28.0190,0.9191
18,warmup,0.021072,0.000000,28.3269,0.9140,28.7174,0.9193
19,warmup,0.021050,0.000000,28.3269,0.9140,28.3934,0.9193
20,warmup,0.020928,0.000000,28.3269,0.9140,28.2653,0.9205
21,adversarial,0.021569,0.700930,28.3269,0.9140,28.7736,0.9188
22,adversarial,0.021111,0.696151,28.3269,0.9140,28.6861,0.9210
23,adversarial,0.021218,0.695062,28.3269,0.9140,28.1554,0.9188
24,adversarial,0.021168,0.694358,28.3269,0.9140,27.5066,0.9207
25,adversarial,0.021005,0.693881,28.3269,0.9140,28.6412,0.9202
26,adversarial,0.020717,0.693740,28.3269,0.9140,28.4008,0.9216
27,adversarial,0.020895,0.693623,28.3269,0.9140,28.5051,0.9212
28,adversarial,0.020692,0.693560,28.3269,0.9140,28.7675,0.9211
29,adversarial,0.020349,0.693470,28.3269,0.9140,28.7395,0.9219
30,adversarial,0.020602,0.693474,28.3269,0.9140,28.7389,0.9218
31,adversarial,0.020478,0.693443,28.3269,0.9140,28.8101,0.9207
32,adversarial,0.020210,0.693406,28.3269,0.9140,28.7864,0.9213
33,adversarial,0.019987,0.693357,28.3269,0.9140,28.7533,0.9212
34,adversarial,0.020087,0.693387,28.3269,0.9140,28.3722,0.9221
35,adversarial,0.019948,0.693367,28.3269,0.9140,28.5179,0.9208
36,adversarial,0.019892,0.693329,28.3269,0.9140,28.8146,0.9223
37,adversarial,0.019876,0.693390,28.3269,0.9140,28.3886,0.9208
38,adversarial,0.019802,0.693343,28.3269,0.9140,28.7067,0.9214
39,adversarial,0.019701,0.693372,28.3269,0.9140,28.7489,0.9228
40,adversarial,0.019681,0.693387,28.3269,0.9140,28.8327,0.9224
41,adversarial,0.019624,0.693340,28.3269,0.9140,28.5728,0.9225
42,adversarial,0.019741,0.693265,28.3269,0.9140,28.5699,0.9218
43,adversarial,0.019553,0.693407,28.3269,0.9140,28.7148,0.9220
44,adversarial,0.019482,0.693328,28.3269,0.9140,28.3340,0.9222
45,adversarial,0.019369,0.693349,28.3269,0.9140,28.8319,0.9224
46,adversarial,0.019388,0.693296,28.3269,0.9140,28.9219,0.9229
